PixelNo,Wavelength,CCD_1,CCD_2,CCD_3,Calib_1,Calib_2,Calib_3,DarkSub_1,DarkSub_2,DarkSub_3,%T/R_1,%T/R_2,%T/R_3,Ref,Dark,Absorb_1,Absorb_2,Absorb_3,AbsIrrad_1,AbsIrrad_2,AbsIrrad_3
35,1.16E+03,5.95E+02,0.00E+00,0.00E+00,5.95E+02,0.00E+00,0.00E+00,5.95E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
36,1.16E+03,5.54E+02,0.00E+00,0.00E+00,5.54E+02,0.00E+00,0.00E+00,5.54E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
37,1.16E+03,5.44E+02,0.00E+00,0.00E+00,5.44E+02,0.00E+00,0.00E+00,5.44E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
38,1.16E+03,5.56E+02,0.00E+00,0.00E+00,5.56E+02,0.00E+00,0.00E+00,5.56E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
39,1.16E+03,5.42E+02,0.00E+00,0.00E+00,5.42E+02,0.00E+00,0.00E+00,5.42E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
40,1.16E+03,5.70E+02,0.00E+00,0.00E+00,5.70E+02,0.00E+00,0.00E+00,5.70E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
41,1.16E+03,6.03E+02,0.00E+00,0.00E+00,6.03E+02,0.00E+00,0.00E+00,6.03E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
42,1.16E+03,5.49E+02,0.00E+00,0.00E+00,5.49E+02,0.00E+00,0.00E+00,5.49E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
43,1.16E+03,5.57E+02,0.00E+00,0.00E+00,5.57E+02,0.00E+00,0.00E+00,5.57E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
44,1.16E+03,5.51E+02,0.00E+00,0.00E+00,5.51E+02,0.00E+00,0.00E+00,5.51E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
45,1.16E+03,5.77E+02,0.00E+00,0.00E+00,5.77E+02,0.00E+00,0.00E+00,5.77E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
46,1.16E+03,6.23E+02,0.00E+00,0.00E+00,6.23E+02,0.00E+00,0.00E+00,6.23E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
47,1.16E+03,6.27E+02,0.00E+00,0.00E+00,6.27E+02,0.00E+00,0.00E+00,6.27E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
48,1.16E+03,5.47E+02,0.00E+00,0.00E+00,5.47E+02,0.00E+00,0.00E+00,5.47E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
49,1.16E+03,5.65E+02,0.00E+00,0.00E+00,5.65E+02,0.00E+00,0.00E+00,5.65E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
